,index,"Population, total",Population growth (annual %),Urban population (% of total),Urban population,Urban population growth (annual %),Rural population (% of total population),Rural population,Rural population growth (annual %),GDP (current US$),GDP growth (annual %),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2010 US$ of GDP),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
0,1960-12-01,3032019978.0,1.27454566721276,33.6091599134152,1019036443.0127164,2.91754679434162,66.3908400865848,2012983534.9872837,2012352229.0,1367630326098.38,2.75200698522801,163447.88906614,393614.1821986675,1890497.6482467167,204692.03174314334,429032.58275,259390.43991666668,69367.41666666667,783058.8195833334,0.25826308047609253,0.06872338069572784,0.24679086404145087,100.893519853115,64.53351971284891,37002074.99917679
1,1961-01-01,3035151651.9455967,1.35413306303749,34.1224078914318,1035666826.8004069,2.90171079686149,65.8775921085682,1999484825.1451895,2023830501.0,1368862930961.2385,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37026232.03713705
2,1961-02-01,3038340591.7034326,1.35413306303749,34.1224078914318,1036754969.8319876,2.90171079686149,65.8775921085682,2001585621.8714447,2023830501.0,1370853060375.5894,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37048497.08907337
3,1961-03-01,3041272368.818696,1.35413306303749,34.1224078914318,1037755362.7777256,2.90171079686149,65.8775921085682,2003517006.04097,2023830501.0,1373270953373.8625,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37067074.50491941
4,1961-04-01,3044577682.692877,1.35413306303749,34.1224078914318,1038883215.4599656,2.90171079686149,65.8775921085682,2005694467.232911,2023830501.0,1376600683294.57,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37086048.39913417
5,1961-05-01,3047838259.2372584,1.35413306303749,34.1224078914318,1039995802.6880518,2.90171079686149,65.8775921085682,2007842456.5492063,2023830501.0,1380442449732.4763,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37102917.55005636
6,1961-06-01,3051274071.661657,1.35413306303749,34.1224078914318,1041168184.6178895,2.90171079686149,65.8775921085682,2010105887.0437672,2023830501.0,1385016387500.705,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37118915.67901506
7,1961-07-01,3054665944.806757,1.35413306303749,34.1224078914318,1042325573.4076205,2.90171079686149,65.8775921085682,2012340371.3991363,2023830501.0,1389992960133.1885,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37133115.09247314
8,1961-08-01,3058242604.98909,1.35413306303749,34.1224078914318,1043546015.9839268,2.90171079686149,65.8775921085682,2014696589.005163,2023830501.0,1395667956189.3564,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37146571.52926205
9,1961-09-01,3061894809.670336,1.35413306303749,34.1224078914318,1044792236.1622913,2.90171079686149,65.8775921085682,2017102573.5080442,2023830501.0,1401847647206.6978,2.9246551633465403,165354.29878411,398064.376460205,1931949.7039990833,214141.37537199832,410192.75908333337,276175.8268333333,73340.0,786200.21625,0.25583481058723917,0.06614277401893916,0.24542886174307665,101.85019374597499,67.75819007395008,37158902.636389025
